"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"10252B","99901025275","D",425.90,"$1,277.70","BALVENIIE TUN 1509 BATCH 8",4.05-
"#","10315B","99901031575","T",49.95,$299.70,"THE WISEMAN RYE",0.00
"#","10316B","99901031675","T",49.95,$299.70,"THE WISEMAN BOURBON",0.00
"#","10319E","99901031937","T",12.95,$77.70,"JAMESON GINGER & LIME 4-C",3.00
"#","10406B","99901040675","S",69.95,$839.40,"JUST RUM WHITE OAK 2 YR",0.00
,"10428F","99901042805","T",20.00,$640.00,"OREGON SPIRIT WHISKEY 3-50",1.75
"#","10467B","99901046775","T",19.95,$239.40,"TRULY STRAWBERRY LEMONADE",0.00
"#","10468B","99901046875","T",19.95,$239.40,"TRULY PINEAPPLE MANGO",0.00
"#","10469B","99901046975","T",19.95,$239.40,"TRULY WILD BERRY",0.00
"#","10506B","99901050675","T",54.95,$329.70,"GRAN CORAMINO REPO CRISTAL",0.00
"*","10533B","99901053375","S",74.95,$449.70,"DULCE VIDA ANEJO LONE STAR",0.00
"*","10534B","99901053475","S",35.95,$431.40,"DULCE VIDA GRAPEFRUIT",0.00
"*","10535B","99901053575","S",46.65,$279.90,"BUCKED UP BOURBON",0.00
"*","10536B","99901053675","S",44.55,$267.30,"ANGELISCO TEQUILA REPOSADO",0.00
"*","10537B","99901053775","S",111.10,$666.60,"COGNAC PARK XO LUNAR 2022",0.00
"*","10538B","99901053875","S",41.55,$249.30,"ANGELISCO TEQUILA BLANCO",0.00
"*","10539B","99901053975","S",179.95,"$1,079.70","COMPASS BOX EXPERIMENTAL",0.00
"*","10540B","99901054075","S",539.95,"$3,239.70","COMPASS BOX VELLICHOR",0.00
"*","10541I","99901054170","S",32.95,$197.70,"JACK DANIELS BONDED",0.00
"*","10542I","99901054270","S",35.95,$215.70,"J DANIELS BOND TRIPLE MASH",0.00
"*","10543B","99901054375","S",199.50,"$1,197.00","GARRISON BROTHERS BALMORHE",0.00
"*","10544I","99901054470","S",73.35,$440.10,"LOCHLEA SOWING ED S/M",0.00
"*","10545B","99901054575","S",107.50,$645.00,"PENDERYN S/B USA LMT REL",0.00
"*","10546I","99901054670","S",412.70,"$1,650.80","GLENALLACHIE 21 YR",0.00
"*","10547I","99901054770","S",165.50,$662.00,"GLENALLACHIE 13Y CHINQUAPI",0.00
"*","10548I","99901054870","S",156.50,$626.00,"GLENALLACHIE '08 12Y MARSA",0.00
"*","10549B","99901054975","S",40.85,$245.10,"METEORO MEZCAL JOVEN",0.00
"*","10550B","99901055075","T",69.95,$419.70,"BUSHMILLS SINGLE MALT 12 Y",0.00
"*","10551H","99901055117","T",19.95,$119.70,"1800 ULTIMATE STRAWBERRY",0.00
"*","10552H","99901055217","T",17.95,$107.70,"JOSE CUERVO PEACH LEMONADE",0.00
"*","10553B","99901055375","T",27.95,$335.40,"RAINBOW BOURBON WHISKEY",0.00
"*","10554B","99901055475","S",59.95,$359.70,"BRECKENRIDGE BOUR RESERVE",0.00
"*","10555E","99901055537","M",19.60,$235.20,"MARBLE CAVES CHERRY LIQ",0.00
"*","10556B","99901055675","S",74.95,$449.70,"BLACKENED RYE WHISKEY",0.00
"*","10557E","99901055737","M",15.95,$95.70,"503 DIST PRICKLY PEAR 4-C",0.00
"*","10558E","99901055837","M",19.95,$119.70,"503 DIST RHUBARB SMASH 4-C",0.00
"*","10559E","99901055937","T",9.95,$59.70,"HIGH NOON LEMON (4-CANS)",0.00
"*","10560B","99901056075","T",39.95,$239.70,"DRUMSHANBO SARDINIAN GIN",0.00
"*","10561E","99901056137","T",12.95,$77.70,"JAMESON LEMONADE (4-CANS)",0.00
"*","10562E","99901056237","T",12.95,$77.70,"JAMESON COLA (4-CANS)",0.00
"*","10563B","99901056375","T",26.95,$323.40,"44 NORTH WATERMELON VODKA",0.00
"*","10564B","99901056475","S",71.40,$428.40,"WILDERNESS RYE (BARREL)",0.00
"*","10565B","99901056575","S",46.05,$276.30,"THREE CHORD BOURBON",0.00
"*","10566B","99901056675","S",49.95,$299.70,"PLANTATION STIGGIINS PINEA",0.00
"*","10567B","99901056775","S",44.95,$269.70,"MIL DEMONIOS AGUARDIENTE",0.00
"*","10568B","99901056875","S",32.30,$387.60,"LEMON HART BLACKPOOL SPICE",0.00
"*","10569B","99901056975","S",71.40,$428.40,"WILDERNESS TRAIL BOUR WHEA",0.00
"*","10570I","99901057070","S",86.50,$519.00,"PROOF & WOOD CROSSBORDER",0.00
"*","10571I","99901057170","S",222.85,"$1,337.10","PROOF & WOOD SEASONS 2021",0.00
"*","10572I","99901057270","S",164.45,$986.70,"PROOF & WOOD VERTIGO 2021",0.00
"*","10573B","99901057375","S",62.25,$373.50,"THE REPRESENTATIVE BAR PR",0.00
"*","10574B","99901057475","M",55.00,$660.00,"BRIXEUR RYE PINOT NOIR FIN",0.00
"*","10575B","99901057575","M",55.00,$660.00,"BRIXEUR BOURBON PINOT FIN",0.00
"*","10576B","99901057675","M",75.00,$900.00,"BRIXEUR RYE CABERNET FIN",0.00
"*","10577B","99901057775","M",75.00,$900.00,"BRIXEUR BOUR CABERNET FIN",0.00
"*","10578B","99901057875","M",125.00,"$1,500.00","BRIXEUR RYE LASSA FINISHED",0.00
"*","10579B","99901057975","M",125.00,"$1,500.00","BRIXEUR BOURBON LASSA FIN",0.00
"*","10580B","99901058075","M",45.00,$540.00,"BRIXEUR WILLAMETTE VALLEY",0.00
"*","10581B","99901058175","M",60.00,$720.00,"BRIXEUR LABYRINTH GIN",0.00
"*","10582E","99901058237","T",18.95,$56.85,"NUTRL FRUIT VARIETY 8-CANS",0.00
"*","10583B","99901058375","S",109.95,$659.70,"ORIGEN RAIZ CHACALENO",0.00
"*","10584B","99901058475","S",99.95,$599.70,"ORIGEN RAIZ CENIZO",0.00
"*","10585B","99901058575","S",159.95,$959.70,"ORIGEN RAIZ MADRECUISHE",0.00
"*","10586E","99901058637","T",18.95,$56.85,"NUTRL LEMONADE VARIETY 8-C",0.00
"*","10587B","99901058775","T",44.95,$269.70,"ACRE LARGO BLANCO TEQUILA",0.00
"*","10588B","99901058875","T",30.00,$180.00,"AIMSIR ATRID VODKA",0.00
"*","10589E","99901058937","T",13.95,$83.70,"10 BARREL RANCH WATER (4C)",0.00
"*","10590E","99901059037","T",13.95,$83.70,"10 BARREL GOLF TEA 4-CANS",0.00
"*","10591B","99901059175","M",68.95,$413.70,"EWING YOUNG BLEN YOUR OWN",0.00
"*","10592A","99901059210","S",138.20,$829.20,"DINASTIA REAL REPOSADO",0.00
"*","10593B","99901059375","S",30.15,$180.90,"RUM-BAR JAMAICAN OVERPROOF",0.00
"*","10594B","99901059475","S",36.65,$439.80,"KUROUMA GOLD JUKUSEI",0.00
"*","10595B","99901059575","S",47.25,$283.50,"AWAMORI KOSYU KURA",0.00
"*","10596B","99901059675","S",159.95,$959.70,"COMPASS BOX THE CIRCLE #2",0.00
"*","10597B","99901059775","M",29.95,$179.70,"RANSOM ORGANIC VODKA",0.00
"*","10598B","99901059875","S",48.00,$288.00,"ASTRAEA OCEAN GIN",0.00
"*","10599B","99901059975","S",48.00,$288.00,"ASTRAEA MIST GIN",0.00
"*","10600B","99901060075","S",48.00,$288.00,"ASTRAEA FOREST GIN",0.00
"*","10601B","99901060175","S",48.00,$288.00,"ASTRAEA MEADOW GIN",0.00
"*","10602B","99901060275","B",119.95,$359.85,"BLOOD OATH PACT VIII",0.00
"*","10603B","99901060375","S",71.40,$428.40,"WILDERNESS TRAIL P/B HI RY",0.00
"*","10604B","99901060475","S",35.75,$214.50,"SHIRAYUKI FUJI MUGI",0.00
"*","10605B","99901060575","S",31.95,$191.70,"COPPER DOG",0.00
"*","10606B","99901060675","O",34.95,$419.40,"BUSHMILL PEAKY BLINDERS",0.00
"*","10607B","99901060775","O",15.95,$95.70,"WESTERN SON PEACH VODKA",0.00
,"10610B","99901061075","H",35.95,$215.70,"CIROC VODKA W/GLASS",6.00
,"10613B","99901061375","H",21.95,$131.70,"BIRD DOG SALT CARAMEL VAP",2.00
,"10614B","99901061475","H",21.95,$131.70,"BIRD DOG PEANUT BUTTER VAP",2.00
,"10617B","99901061775","H",19.95,$119.70,"MIDNIGHT MOON LEMONADE W/",5.00-
,"10622B","99901062275","H",36.95,$221.70,"KNOB CREEK RYE W/GLASSES",5.00
