"Oregon Liquor & Cannabis Commission Price Changes - Effective July 01, 2022"
"NOTE","ITEM CODE","NEW ITEM CODE","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"#","2485B","99900248575","H",26.95,$161.70,"HORNITOS PLATA W/GLASSES",3.00
"#","2490D","99900249020","D",3.95,$94.80,"NEW AMSTERDAM PINEAPPLE VO",0.00
"#","2652B","99900265275","D",9.95,$119.40,"CHRISTIAN BROS PEACH BRAND",0.00
,"2677B","99900267775","R",35.95,$431.40,"CIROC PINEAPPLE VODKA",6.00
,"2934B","99900293475","S",310.95,$932.85,"CASA DRAGONES 16 BLU AGAVE",31.00
,"2967B","99900296775","R",21.95,$131.70,"BIRD DOG APPLE WHISKEY",2.00
,"2980H","99900298017","R",34.95,$209.70,"DEEP EDDY LEMON VODKA",5.00
"#","3006B","99900300675","H",18.95,$113.70,"STOLICHNAYA MIXOLOGY VAP",13.95
,"3024B","99900302475","H",26.95,$161.70,"WILD TURKEY 101 W/COCKTAIL",3.00
,"3026B","99900302675","H",52.95,$317.70,"THE GLENLIVET W/2 50MLS",5.00
,"3027B","99900302775","H",29.95,$179.70,"DISARONNO GIFT SET",2.50-
,"3040B","99900304075","O",35.95,$215.70,"CIROC VODKA W/50MLS",6.00
,"3049B","99900304975","O",30.95,$185.70,"JAMESON W/2-50ML",3.00
,"3084B","99900308475","H",49.95,$299.70,"HERRADURA SILVER W/GIFT",5.00
"#","3111B","99900311175","D",14.95,$179.40,"THREE OLIVES BLUEBERRY VOD",0.00
"#","3113B","99900311375","B",79.95,$479.70,"STRANAHAN'S DIAMOND PEAK W",15.00
"%","3191B","99900319175","R",16.95,$203.40,"JIM BEAM APPLE",2.00-
,"3252B","99900325275","R",15.95,$191.40,"SINFIRE PET",2.00
,"3308B","99900330875","H",25.95,$155.70,"WILD TURKEY AM. HON W/PITC",5.00
,"3309B","99900330975","H",24.95,$149.70,"JIM BEAM DEVIL'S CUT W/GLS",3.00
,"3312B","99900331275","H",24.95,$149.70,"KAHLUA W/50ML & GLS",5.00
,"3328B","99900332875","R",30.95,$371.40,"JAMESON CASKMATES STOUT",3.00
"#","3333B","99900333375","V",45.95,$551.40,"RANSOM S/B OLD TOM GIN",0.00
,"3358B","99900335875","R",44.95,$539.40,"TRAILS END BOURBON",10.00
"%","3372B","99900337275","R",49.95,$299.70,"GLENFIDDICH 14YR",7.00-
,"3531B","99900353175","R",35.95,$431.40,"CIROC APPLE",6.00
,"3579B","99900357975","T",29.45,$176.70,"FAMO SILVER CACHACA",2.50-
"#","3632E","99900363237","M",16.05,$385.20,"MARBLE CAVES PEAR BRANDY",0.00
"#","3632B","99900363275","M",31.55,$378.60,"MARBLE CAVES PEAR BRANDY",0.00
"#","3633E","99900363337","M",16.05,$385.20,"MARBLE CAVES GRAPPA",0.00
"#","3633B","99900363375","M",31.55,$378.60,"MARBLE CAVES GRAPPA",0.00
"#","3634B","99900363475","M",19.50,$234.00,"MARBLE CAVES RUM",0.00
"#","3635E","99900363537","M",16.05,$385.20,"MARBLE CAVES APPLE BRANDY",0.00
"#","3635B","99900363575","M",31.55,$378.60,"MARBLE CAVES APPLE BRANDY",0.00
